court                                              Score: 0.44285767300319745
ct                                                 Score: 0.4305466260973642
corruption                                         Score: 0.3669962135025066
id                                                 Score: 0.33650355441047075
ctdep                                              Score: 0.3354465133193624
contributions                                      Score: 0.32110807509134026
east                                               Score: 0.3066351563471473
pipeline                                           Score: 0.3066351563471473
contribution                                       Score: 0.30633568234506753
islander                                           Score: 0.3025192482082594
government                                         Score: 0.2827732284881728
speech                                             Score: 0.27198048823858173
water                                              Score: 0.2613601668193805
state                                              Score: 0.2547673635166935
limits                                             Score: 0.22098582805975733
policy                                             Score: 0.21589445732259502
public                                             Score: 0.21211234424667952
city                                               Score: 0.2104231078045447
amendment                                          Score: 0.20895006043402875
2d                                                 Score: 0.202955459503818
prostitution                                       Score: 0.19706207135974568
business                                           Score: 0.1894003699099466
funds                                              Score: 0.18022881006454136
shellfish                                          Score: 0.17492609590273503
federal                                            Score: 0.16801109926471064
report                                             Score: 0.16796783764854611
quality                                            Score: 0.1659159342303167
candidates                                         Score: 0.15771738100934168
ed                                                 Score: 0.15706445822864595
requirement                                        Score: 0.15424555497234704
rust                                               Score: 0.14935230671475463
does                                               Score: 0.14900542507052247
act                                                Score: 0.14898136482616323
viewpoint                                          Score: 0.14854481761402313
aids                                               Score: 0.14727796912149416
united                                             Score: 0.14704834099668054
funding                                            Score: 0.1450186511430822
doing                                              Score: 0.14471204132041102
agency                                             Score: 0.14414541650144533
congress                                           Score: 0.14304514547116567
political                                          Score: 0.14255224821998191
decision                                           Score: 0.13976114826516653
supreme                                            Score: 0.13790990094992708
majority                                           Score: 0.13590689778411655
program                                            Score: 0.13117303009783973
plaintiffs                                         Score: 0.1306832683754103
case                                               Score: 0.12472646907046389
hiv                                                Score: 0.12446025559562884
connecticut                                        Score: 0.12339906726514165
campaign                                           Score: 0.12198782486897858
benthic                                            Score: 0.12141929009719254
law                                                Score: 0.12058380545677405
conditions                                         Score: 0.1197097263243018
new                                                Score: 0.11893385922040604
denial                                             Score: 0.11866912103552207
evidence                                           Score: 0.11832610714378261
record                                             Score: 0.11540944850510419
substrate                                          Score: 0.1152454278888607
3d                                                 Score: 0.115037750472227
proposed                                           Score: 0.11499584711968469
citizens                                           Score: 0.11467516757814505
influence                                          Score: 0.11460563607655896
leadership                                         Score: 0.11431538654819508
ban                                                Score: 0.11222198264126235
candidate                                          Score: 0.11222198264126235
velazquez                                          Score: 0.11201423003606596
election                                           Score: 0.1091889560833904
organizations                                      Score: 0.10789854229831078
installation                                       Score: 0.10495565754164102
based                                              Score: 0.09863712931633524
states                                             Score: 0.09858624134945379
condition                                          Score: 0.09853848752534769
buckley                                            Score: 0.09705684985190258
issue                                              Score: 0.096001449107412
subsidy                                            Score: 0.09541952928998212
appellants                                         Score: 0.09481323361114065
habitat                                            Score: 0.09466588719442129
103                                                Score: 0.09282844335020046
use                                                Score: 0.09142926895757063
appearance                                         Score: 0.0900430917146764
omitted                                            Score: 0.08923619580939088
guidelines                                         Score: 0.08919651651020069
recipients                                         Score: 0.08919651651020069
york                                               Score: 0.08814311368276485
restrictions                                       Score: 0.08460572625592648
representation                                     Score: 0.08297350373041924
taxation                                           Score: 0.08297350373041924
cir                                                Score: 0.08292510400528463
sediment                                           Score: 0.08231816277775765
closely                                            Score: 0.0818917170625428
cases                                              Score: 0.08117213181642036
support                                            Score: 0.07890508046700738
corporate                                          Score: 0.07885869050467084
lobbyist                                           Score: 0.07885869050467084
quid                                               Score: 0.07885869050467084
private                                            Score: 0.07875088653890375
waters                                             Score: 0.07820225463886976
activities                                         Score: 0.07750639659432804
impacts                                            Score: 0.07614430056942582
decl                                               Score: 0.07582566394679889
review                                             Score: 0.0758111779393297
direct                                             Score: 0.07288583457903323
matching                                           Score: 0.07279263738892693
immunity                                           Score: 0.07202839243053795
nga                                                Score: 0.07202839243053795
roberge                                            Score: 0.07202839243053795
opinion                                            Score: 0.07200280322230512
internal                                           Score: 0.07174216919020394
message                                            Score: 0.07172053196820802
district                                           Score: 0.07048238732428645
424                                                Score: 0.06975961083105497
lobbyists                                          Score: 0.06975961083105497
lobbying                                           Score: 0.06881697774227714
lsc                                                Score: 0.06845314057759587
recipient                                          Score: 0.06845314057759587
restriction                                        Score: 0.0683266138144616
scrutiny                                           Score: 0.06796849820384054
money                                              Score: 0.06786200278062098
deposition                                         Score: 0.067550084121908
contributors                                       Score: 0.06672658427318301
expenditures                                       Score: 0.06672658427318301
green                                              Score: 0.06672658427318301
pro                                                Score: 0.06640378744416182
fact                                               Score: 0.06615367122512374
quoting                                            Score: 0.06599729453226123
feis                                               Score: 0.06585453022220612
rights                                             Score: 0.06570918610429954
existing                                           Score: 0.06560430072371357
unconstitutional                                   Score: 0.06541018314154326
actual                                             Score: 0.06523070298929048
2010                                               Score: 0.06518431584811668
protected                                          Score: 0.06517143940112922
right                                              Score: 0.06471815992016235
party                                              Score: 0.06466944809082291
111                                                Score: 0.06430446539107491
1759                                               Score: 0.06430446539107491
women                                              Score: 0.06430446539107491
19                                                 Score: 0.06392423691372526
section                                            Score: 0.06380888555431613
gas                                                Score: 0.06379657615276217
perception                                         Score: 0.06369355771531107
quotation                                          Score: 0.06334193824048748
area                                               Score: 0.06326466074708177
individuals                                        Score: 0.06312924116062242
subject                                            Score: 0.06228317744471548
1043                                               Score: 0.06223012779781442
arbitrary                                          Score: 0.061738622083318234
capricious                                         Score: 0.061738622083318234
cwa                                                Score: 0.061738622083318234
anti                                               Score: 0.06166296288484742
activity                                           Score: 0.06150220203047618
project                                            Score: 0.061426345769162255
abortion                                           Score: 0.06015579020455395
conclusion                                         Score: 0.05992716067740564
provisions                                         Score: 0.05991063736932144
did                                                Score: 0.05968181856664627
wqc                                                Score: 0.0596806680138743
required                                           Score: 0.05880846358300884
impact                                             Score: 0.0588003419333297
application                                        Score: 0.05830747494705209
natural                                            Score: 0.058288122200870714
long                                               Score: 0.058180127373461635
3703                                               Score: 0.05762750459956715
action                                             Score: 0.05760423385420742
free                                               Score: 0.057044759627384256
quo                                                Score: 0.056938264204164694
drawn                                              Score: 0.05682079566648333
1997                                               Score: 0.05680079624696366
benefit                                            Score: 0.056435023829361684
order                                              Score: 0.056392833853743336
affiliate                                          Score: 0.055944659901546144
121                                                Score: 0.055825288031339126
respondent                                         Score: 0.055564759874986415
marks                                              Score: 0.0555272771831159
dealings                                           Score: 0.0545944780416952
scandals                                           Score: 0.0545944780416952
115                                                Score: 0.05393277742477251
2510                                               Score: 0.05393277742477251
international                                      Score: 0.05393277742477251
speiser                                            Score: 0.05393277742477251
make                                               Score: 0.05379991996202241
acres                                              Score: 0.05350680580554248
island                                             Score: 0.05350680580554248
basis                                              Score: 0.052931857189966944
legal                                              Score: 0.052670113618006754
non                                                Score: 0.05194489183066932
fund                                               Score: 0.051858439831512025
grantees                                           Score: 0.051858439831512025
ii                                                 Score: 0.051807544547319034
ex                                                 Score: 0.05165283819557444
sound                                              Score: 0.051567203185120265
2003                                               Score: 0.05155595884696122
ferc                                               Score: 0.05144885173609853
